country,access_to_electricity_percentage,individuals_using_internet_percentage,year
"Virgin Islands (U.S.)",100,31.22,2010
"Virgin Islands (U.S.)",100,35.6,2011
"Virgin Islands (U.S.)",100,40.55,2012
"Virgin Islands (U.S.)",100,45.3,2013
"Virgin Islands (U.S.)",100,50.07,2014
"Virgin Islands (U.S.)",100,54.84,2015
"Virgin Islands (U.S.)",100,59.61,2016
"Virgin Islands (U.S.)",100,64.38,2017
"West Bank and Gaza",99.9,37.4,2010
"West Bank and Gaza",99.7,41.08,2011
"West Bank and Gaza",99.8,43.4,2012
"West Bank and Gaza",99.9,46.6,2013
"West Bank and Gaza",99.9,53.67,2014
"West Bank and Gaza",99.9,56.7,2015
"West Bank and Gaza",100,59.9,2016
"West Bank and Gaza",99.9,63.3,2017
"West Bank and Gaza",100,64.4,2018
"West Bank and Gaza",100,70.62,2019
"West Bank and Gaza",100,76.01,2020
World,83.57,28.8,2010
World,84.62,31.21,2011
World,85.06,33.71,2012
World,85.82,35.65,2013
World,86.31,37.88,2014
World,87.02,40.27,2015
World,88.19,43.22,2016
World,89.02,45.54,2017
World,89.89,49.16,2018
World,90.19,53.75,2019
World,90.48,59.57,2020
"Yemen, Rep.",60.78,12.35,2010
"Yemen, Rep.",62,14.9,2011
"Yemen, Rep.",52.41,17.45,2012
"Yemen, Rep.",75.6,20,2013
"Yemen, Rep.",66.1,22.55,2014
"Yemen, Rep.",67.41,24.09,2015
"Yemen, Rep.",68.86,24.58,2016
"Yemen, Rep.",79.2,26.72,2017
Zambia,30.05,4.8,2013
Zambia,31.1,8.8,2015
Zambia,35.38,10.3,2016
Zambia,40.3,12.2,2017
Zambia,40.23,14.3,2018
Zambia,43,16.8,2019
Zambia,44.6,18.05,2020
Zimbabwe,38.89,6.4,2010
Zimbabwe,36.9,8.4,2011
Zimbabwe,44,12,2012
Zimbabwe,40.64,15.5,2013
Zimbabwe,32.3,16.36,2014
Zimbabwe,33.7,22.74,2015
Zimbabwe,42.47,23.12,2016
Zimbabwe,43.98,24.4,2017
Zimbabwe,45.4,25,2018
Zimbabwe,46.68,26.59,2019
Zimbabwe,52.75,29.3,2020
